,review_id,stars,text,food,atms,serv,prce,food_score,atms_score,serv_score,prce_score,man_avg_score,pred_avg_score
12,Aq9ch0YCqkEOFJM0rKxB3w,2,"I snub my nose at you zealous purists out there. I like my cheese steaks bastardized. Hold your cheese whiz. Drop the beef and toss on some chicken. And make sure to add vegetables. Yes, vegetables. Blasphemy, I know. Give me mushrooms, onions, green peppers, tomatoes. Mmmm. In fact, you could even hold the meat and I would be alright with that. 

The hot sandwiches at Corleone's are a happy medley of these two extremes. For the purists, there's the Philly Original and for us West Coast blasphemers there's everything from Buffalo Chicken to Veggie Subs. The fries are pretty decent (it takes some real effort--or neglect--to fuck up french fries) but the onion rings leave a lot to be desired. 
 
I've tried a couple different hot sandwiches, including the Philly Original, and it's always a greasy, messy event. The majority of the time the juice and grease of the contents melt right through the damn roll, leaving me with a pile of napkins, a mangled sandwich, and a frown on my face. (I really dislike it when my food falls apart. I usually bite of it as hard as I can to try and inflict pain on the offending meal. The food has never acknowledged my attack. It's a pretty irrational tradition.) So if keeping your sandwich in one edible piece is big in your book, I wouldn't recommend this place. 

The actual restaurant is pretty small, with a long bar with stools and several high tables to enjoy your vittles at. It's also a little bit on the hot side since half of the restaurant is the kitchen, and it gets a bit noisy with all the ordering, grilling and chit chat, but it's a really lively atmosphere and they offer delivery or take out if you're in a hurry. They're open really late too, especially on the weekends, in order to cater to the Mill Avenue night life.

On Tuesdays they have a special that's pretty ace. It's a buy one get one deal on any sandwich in the place--of equal or lesser value (just imagine that in small print)--so you and a friend can eat for cheap or you've got one sandwich for dinner and another for lunch the next day.

I know a lot of people that adore this place, but it's just not my thing. Cheese steaks are not the food of gods to me, but if the thought of hot beef and cheese whiz has you gargling saliva like Homer Simpson, you'll probably enjoy it and rate it higher.",1,1,0,1,-1,-1,0,1,-1,0
13,RwZKnDR7Ftj8CCA2Riia_w,2,"Tonight I attended the Yelp mixer organized by Andrew- the rsvp showed 10 people but being the social Yelpers that we are, over 20 people ended up showing up to check out the Vig Uptown.
My friends and I ordered the crab\/artichoke dip, hummus dip, guacamole and salsa, and their chicken flat bread from their happy hour menu.  The food was excellent, everything morsel delicious.
The manager came over several times to see if everything was fine which was great.  What fell short was the service provided by the waiter.
He appeared to be completely overwhelmed by a party of twenty, showing up at various times.  
I was there at 5pm and left around 6:30pm, in that span of time I had one drink.  I saw a drink floating by that looked interesting and managed to flag down the waiter.  He told me the Vig did not serve a drink that I was describing which I saw less than 10 mins prior to speaking to him . . . okay- but he did not ask me if I wanted another drink instead.  In the 1 1\/2 hours that I was there, pretty much everyone had one order of drink even though quite a few of my fellow Yelpers were saying they would like another of their scrumpious alcoholic beverage.  I was there to eat and to drink- I probably would have had 3 drinks, for sure 2 if the waiter had been more on his toes.
So no more than 2 stars for lack of service . . .",1,0,1,0,1,0,-1,0,0,0
14,A8I_ACE_eC76m8kG5Zj1Lw,2,"10\/22\/2011 was the date of our visit.  Food was just okay, server was just okay.  The manager climbed up on the food prep counter to fix a light.  We felt like that was the most unsanitary thing anyone could do - he could have just come from the restroom for all we knew.  Needless to say, lackluster service, mediocre food and lack of concern for the cleanliness of the food prep area will guarantee we will NEVER return.",1,1,1,0,0,-1,-1,0,-1,0
15,R0EX1sFwLGM0Lyr0Q-6iYg,1,"Bad, Bad and really BAD. Dry burgers.  Cheese does not taste like cheese.  Expensive, for dry burgers.

Burgers taste like precooked.  Frozen or cheap fast food burgers taste better then the burgers at this location.

On the plus side, service was good.",1,0,1,1,-1,0,1,-1,-1,0
16,q4TSJCUvKUp5XnaPa-rpqw,2,"Disappointed. Ordered the preset package. The tea is served in a clear pot. Was cheap looking and not even half full.  It wasn't hot enough either.   The rum cake was absolutely awful in smell taste and texture.  Only 3 items were decent, the scone, deviled egg and the hazelnut tart.  I like the pineapple jam and clotted cream. 

It was a good thing we only ordered one set for the both of us.  We would have ordered another pot of tea but we were so turned of by the food items.  I've had better afternoon tea elsewhere for cheaper even.",1,0,0,1,-1,0,0,-1,-1,0
17,Xj2F0cN0iPBuH17U6fpZaA,1,"Very poor service, said they were too busy to even make us tea or take an order. Walked out unserved, there was only one other table. If you can't both fill a catering order and serve people, lock the door.",0,0,1,0,0,0,-1,0,-1,0
18,sxXipjylg_YS57uyPXcsug,1,"I dont even think it deserved a star in the first place. Went just seconds ago and while i was ordering the girl was making jokes and laughing, i had to leave and go to taco bell.. Right next to this awful mcdonalds. She didnt even care when i asked her to take my order. She just ignored me the whole time. 

What a shitty customer service",0,0,1,0,0,0,-1,0,-1,0
19,tl2rf9ExvFwndhyvpFiMEQ,2,"Mediocre beers, seriously disappointing food. 

First, the food: Absolutely tasteless, uninspired burgers. Dry ribs that are way more ""dry"" than ""ribs"" and taste like literally nothing. Butter chicken sauce heavy on tomato, with chunks of crusty, pan-fried (not stewed) chicken floating in it. Beer list heavy on the usual corporate imports, completely ignoring the local craft brew industry.

Service was friendly, which is the only reason this place gets two stars and not one.

Once upon a time the Duke was my go-to pub in the neighbourhood. Never again.",1,0,1,0,-1,0,1,0,0,0
20,G_FGZOpF5HgG-yxW79P7PQ,1,"Decided to stop at the Steak  'n Shake on South Blvd after a afternoon of boating on Lake Wylie. The whole reason we stopped is that online it said that they had ""8"" good Vegetarian choices and since we had a Vegetarian with us, we decided to give it a go. We sat in line for around 15 minutes, but it was fine we were looking at the menu online. But Alas when we got to the order microphone we were unhappy to hear that not one of the ""8"" items they mentioned online did they have. They were supposed to have a Veggie Burger and a Vegetarian Melt. Nope....they had Cheese Fries they said, that's  all. So we had no choice but to order the cheese fries, and we ordered a couple of sandwiches. The cheese fries were just the small order of fries with some Cheese Whiz stuff on them, not hot but cool. I ordered a Frisco Burger which was two white pieces of bread with a couple of paper thin patties on them and a sauce that was like a tomato mayonnaise, the amount of grease was intense. The bread was suppose to be sourdough and thick but it was not. My husband got a Portobello and Swiss burger, his was probably the best, but also almost 7 dollars. I realize this is NOT a vegetarian place but usually in todays society with so many people opting out of red meat you would think they would have had an option, like they described online.  I remember when Steak'n Shake first came out it was really good....Not so much anymore!",1,0,1,1,-1,0,-1,-1,-1,0
21,PtX1AIIM0bSJ3fdFppyxRA,2,"The food wasn't that great. You'd see something that looked good, take one bite of it, and let the server take it away. Because the food wasn't satisfying, I kept eating more and more to compensate, which resulted in me feeling nautious for the next hour.

The redeeming parts were the deserts and the free Buffet Liquor (Mimosa, etc.). The deserts were very tasty.",1,0,0,0,0,0,0,0,0,0
22,1LCpVw3TKDCvWRHwG93QVg,2,"The poke concept is hitting Arizona in waves. 

By no means is this a true Hawaiian style poke, but more of a deconstructed version filled with options such as vegetables, fruit (mango as a protein choice?!?), nacho (what the what?!?), and Asian influenced dressings.

Basically, you follow steps 1-4 and you'll have your shallow tray quickly assembled by the staff. 

Step 1 - Select base and size (small 2 scoops $9, medium 3 scoops $11, large 4 scoops $13)
Step 2 - Select your protein
Step 3 - Select your mix-ins (unlimited, free) and flavor
Step 4 - Select your garnish and sides (unlimited except extra sides and avocado)

On my initial visit, I ordered the medium with brown rice and spring mix, and my choice of 3 scoops of protein (1 tuna, 2 salmon). The staff placed the fish into a stainless steel mixing bowl and added my mix-ins (red\/green onion, jalapeños) and added a package of low sodium soy sauce. With a quick stir, she poured it on top of my green leafy vegetables and cucumbers. I asked to topped it off with masago, shichimi powder and a mini-scoop of the imitation crab meat. 

With my first bite of the tuna, I thought it was passable but the salmon was a little bit more disappointing. The salmon meat did not have a firm texture. In preparing my meal, I noticed the staff had a difficult time scooping it because it seemed excessively wet. 

The prices were slightly inflated compared to other poke places on the West Coast. There were bench and table sitting but majority of the diners took their meals to-go. The ice cream macarons ($3.50) look very appealing but decided to pass. 

My favorites continue to be Poki One N Half (San Diego) and Calipoke (OC) for this type of style, and would consider Poke Bar more like Poke Subpar.",1,0,0,1,-1,0,0,-1,-1,0
23,7hrtK6_z1URQJkdRESByDQ,1,"Too bad Yelp! doesn't let you give a 0-star.

Decor:
Or lack of.  Trying to match the King St W hipster notion and failed big time.

Cleanliness:
Oh where do I start?  How about the floor.  There were mouse trap and sticky pad visible on the floor and around the benches...I wonder why???  Here is an idea, pay an exterminator.  Our water glasses had stuck-on food ON THE INSIDE, when I asked for a new one, the waiter\/owner didn't seem to care or apologetic.  My steak and rice came with a long curly hair which I was not about to digest after seeing the rest of the restaurant.  How they pass the health inspection is beyond me.

Taste:
Fine dining my a$$, tastes more like straight out of the microwave.  There is no creativity that sets aside the food from other places.  And the fusion part, I was looking around to find that.  I ordered the steak, medium rare.  First of all, it looked more like 2 beef patties out of your local Loblaws slapped together.  Second of all, 2 pieces were rare and 1 piece was well done.  Maybe that was their attempt at FUSION??

Service:
It literately took 10 min to just get the menu and another 15 to get water or even attention at the table.  We bought a Groupon and the server didn't even seem to know what menu we are suppose to pick from.  The Groupon clearly said ANY wine upto $9\/glass but the server INSISTED that it was only the $6 house-wine.  I was in no mood to argue over stupid stuff and only to get a glass of cheap Jackson & Triggs.  WOW!!!

Atmosphere:
Dark, smells like Indian food and BO mixed for too long and dirty.

Respect to those that like the crap they serve here, I don't know how you people stand it but it seems the standards in the area is fairly LOW.  Save your money and go to any over-priced franchise and it'll taste better than this slop.",1,1,1,0,-1,-1,-1,0,-1,0
24,hEcjSZXVh1WMGS75MvfGWg,1,"Truly one of the worst places to eat at in Vegas.
I ate here a while back and it's just plain horrid.
Even old white people won't eat here.",1,0,0,0,-1,0,0,0,-1,0
25,JsGASokYzaRrp_yfefxSRQ,2,"I work in the area so have eaten at this location numerous times.

The location is right across from the Mandalay Bay.

The staff at this location changes constantly. But no matter how often the staff changes you can always count on them being inept. 

If you have to eat here I'd suggest walking inside. The drive through is always a long wait.

The food is typical McDonalds except for their french fries. At most McDonalds I love their fries...not at this place. They're always old and it taste as if they never change the oil in their fryer.  I've never had a good french fry at this place.

If you're really craving McDonalds I'd suggest you try another one.",1,0,1,0,-1,0,-1,0,-1,0
26,R_orapyHb3bGiC5y38oh6w,1,"I would have called the restaurant directly, but Phillips offers no telephone numbers!!!  I contracted food poisoning from the calamari I ate 2 hours ago at the Charlotte airport location. I was forced to use a form on the Phillips website asking them to please contact the restaurant to tell them NOT TO SERVE IT TO ANYONE ELSE!!!!!!!!!!!!!!!!   I am vomiting and have diarrhea. I am extremely unhappy and will never again dine at a Phillips.  GROSS!",1,0,1,0,-1,0,-1,0,-1,0
27,wgznR-VcOkBuRCY0rGWgRw,2,"$9 dollar mimosas made with cheap sparkling wine - $9 would be justified if the product was mid range. 

$21 dollars for bad steak and frozen fries 

When you think steak and eggs you don't picture a meal that seems like it was made from leftover dinner from the night before 

The server was great, staff was great, place was clean and a cool concept. This place is a little over rated, Highly priced. $95dollar brunch tab for two and $110 after tip. This is a one and done trip for us.",1,1,1,1,-1,1,1,-1,0,0
28,Es-GsGc4fh0V87wKCuyiAg,2,"Overpriced.  The only reason they get two stars is because they sell cheese cubes which was always nice to add to a packed lunch, but still, it was very expensive for what you get. On top of it they make you spend $10 to use a card.  I would rather grab a $5 sub across the street.",1,0,0,1,1,0,0,-1,0,0
29,Y86_1k446dBK9VoHm7okLg,1,"I got the ""Our Burger"" for take out - which if I remember correctly it consisted of lettuce, tomato, pickles, patty and some sauce....

How can you call yourself a burger joint when you eff up the patty?!! It was OVERCOOKED, there's a difference between medium cooked and still juicy vs OVERCOOKED and dry af. The same thing happened to 2 of my other coworkers as well so it didn't happen to just me. Not going back!",1,0,0,0,-1,0,0,0,-1,0
30,RZqWDWlGqQRXlVujZHbzKw,2,"On a Sunday morning, things got rolling slowly here... took a while to get basic attention, water, staff seemed frantic and recovering from a Saturday night perhaps.  

No egg substitutes here... ""we stick strictly to the menu"" we were told, so if it says poached and you want scrambled, or egg-whites, too damn bad.
Had the crispy spinach and portobello which was good, then learned that the spinach is deep-fried which I wish I'd known before I ordered.

Not kid-friendly so you'll get the staff fish-eye if you've got little ones along.

Overall the food seemed over-priced and the quaint atmosphere only goes so far.  Hop over to Marigold's down the block for the real deal.",1,0,1,1,-1,0,-1,-1,-1,0
31,NrU6wYSWHsxz7tRx7YIIfQ,1,"Hired #BombayGrille to cater for my daughter's wedding because this business was the preferred caterer for #BentonConventionCenter in Winston-Salem and recommended by them. Food tasted very well. To my dismay, the quantity for biryani and kabobs turned out to be very short despite the fact that the number of guests who showed up were less than the number paid for. This was very embarrassing for me and the only sore point during my daughter's wedding. Bride, groom and the guests at the back of the line didn't get food. I was later told by some friends that they had encountered food shortage at another wedding where food was catered by #Bombaygrille. Unfortunately I found this out too late. I would not recommend them to hire for an important event such as a wedding.",1,0,0,0,0,0,0,0,0,0
32,nCZ_Iw8pX5XrzM-Ldqfw5Q,2,"I was really disappointed in this Westin Hotel, just off the Strip in Las Vegas. 

You would think that Westin, one of the better brands of hotels in the Starwood family, would go all out for their only Hotel and Casino in Las Vegas. Top shelf to attract both the business travelers who have learned to rely on Westin's level of service, and the casual traveller, who wants a good hotel near the strip. 

They missed on both.

This Westin can't make up its mind between being a business hotel and a Vegas hotel. It has a very small casino, with 1 crap table, a few table games, and some slots, but virtually nobody playing. The crap table never opened. 

And the rooms are small and very much business like, versus Vegas like in size, decor and style. 

And although Westin has only owned this porperty for less than 6 years, it is already showing age around the edges, losing any freshness or swank it might have had at opening. It just doesn't have a crisp feel like many other Westins in major cities have. 

And right now, the city is doing major construction work on this section of Flamingo Road, so getting in and out of here is a hassle. 

If you want a business hotel in Vegas, I suggest you try Embassy Suites on Paradise. And if you want a more resort like hotel that is reasonable, try the Hilton Grand Vacation properties (there are 3 in Vegas). EIther can be had for under $150. OR get those internet deals from the major Casino Hotels, which are offering some great deals. Like the Venetian mid-week for $69, or many others for under $100.

At least I got 1 day of starpoints to add to my Starwood SPG account.",0,1,0,1,0,-1,0,-1,-1,0
33,zL6UGkjazbFoJW5TzmlDEg,1,"We have been eating here for years and it seems that the food and the service have steadily gone downhill. Tonight was the last night I will eat at Char Bar7. We're officially breaking up for good this time. 
The last few times the food was barely edible. Tonight, the blue cheese Coleslaw was rancid. My husband and I both had it as a side item. We brought it to the attention of our waiter and he sent the manager over. She proceeded to tell us that the KM (thanks for the jargon) tried it and it was fine. I suggested that if she was familiar with how it was to taste for her to try it. She left pretty hastily and then come back and  said she tried it and the bar back (thanks again) did too and it was fine. She explained it's made with real blue cheese crumbles. Well, maybe so but those crumbles tasted like they had been left out in today's 80 degree weather. 
She offered to take it off our bill. I appreciate that but the food and attitude are enough to make me take my money elsewhere. Eater beware!",1,0,1,0,-1,0,-1,0,-1,0
34,aUdXXkSnq5qf6BEdUlyqYw,2,I don't know how this place is still up and running. Went here for a bachelor party for drinks.,0,0,0,0,0,0,0,0,0,0
35,8Pt8vHWw7yLyX7PwYsDATg,1,Worst most overpriced place ever.. horrible food and inconvenient service. Stay away!,1,0,1,1,-1,0,-1,-1,-1,0
36,coryqtuTfvDS6ckr6CvgEA,2,"So disappointed to have to write this!  Our large group of 12 came at around 4:00pm and were able to get 2 tables together pretty quickly, which was great.  Then our waitress was quick to get us started on drinks, again, that was great.  

Then, a waiter came to our table and said he was taking over for our waitress and all the guys were so disappointed.  When I asked what the big deal was, one guy said men don't take care of people like women.  I thought okay, maybe he has a point.

Well, he definitely did have a point.  The waiter was HORRIBLE.  Not attentive, we sat with empty glasses for at least 10 minutes before he noticed, and several times we had to flag him down for more drinks and napkins and our check.  

It was a bummer because the space is great, the beer is great, and the food is great.....but the service ruined our whole experience.",1,1,1,0,1,1,-1,0,1,0
37,slHTXUiymMRSqBFog-zoow,2,"The quality of the sashimi is exceedingly poor and the price is fairly expensive ($20 for chirashi). The flavour of the sushi rice is not quite right either. I recommend against their sushi. However, I have heard that their Chinese food is better.",1,0,0,1,-1,0,0,-1,-1,0
38,#NAME?,2,"Came here for lunch since we're staying in the hotel, and wish I would've just gone across to Chayo (at the Linq).  The chips and salsa were good, the drinks are watered down, the food does not taste fresh (it tastes like re-heated food), and customer service is okay.  The patio is nice, and the music is appreciated but that's about it.  It terms of pricing, I guess it's fine considering it's Vegas.  

Bottom line, if you don't care about the food\/drinks\/customer service, then this is your place.  I'm not coming back!",1,1,1,1,0,1,0,0,1,0
39,tK_hlz7LrG_mzeBaUuF_4A,2,"I don't know if we went on an off night (I have read other reviews from the night we went that complained about the service as well).  But, to say I was underwhelmed with Bazaar Meat is an understatement.  When we walked in, I was blown away.  It's a dark and very chic looking place.  There is a small casino to your left as you walk in.  I can't believe other restaurants haven't thought of this, it's such a fantastic idea.  I've seen them in clubs, but not restaurants.  Waiting for your table, how about dropping a hundred at roulette?  

The hostesses were very friendly and we were seated right away.  We had drink orders taken very quickly.  So far, so good.  This place is really an assault on the senses.  There are smells from the grilling, the music is loud, there are alligator heads on the wall, and employees everywhere.  The kitchen is very busy, and you can see most of it from the seating area.  Our server started off friendly, and stayed friendly, but he also stayed away from our table.  This is one of the reasons I am giving 2 stars.  As the meal wore on, he was nowhere to be seen.  It took nearly a half hour to get our check.  Also, a table 2 tables from us remained unbussed for over 20 minutes.  I know you are crowded, it's a new hot restaurant on the Strip, but these are issues that shouldn't happened at a place of this caliber charging what they charge.  Most telling, two in my party ordered cocktails when we sat down.  The glasses remained on the table after they were completed, empty, for the entire 2.5 hour meal.  This would have been an easy fix, yet there they remained.  It became kind of a joke with us to see how long they would last.  Spoiler alert:  they were on the table when we left.  For all I know, they still are.

As other yelpers note, the menu is not your typical steakhouse.  It was described to us as a steakhouse meets a tapas place.  I would agree, this is a spot on description.  We started with the Iberico ham, the best ham in the world.  For $70 you don't even get 2 ounces (see my picture), but it's the best HAM IN THE WORLD.  I never regret buying this stuff, and it was no different at Bazaar Meat.  It is served with crustinis with tomato spread on them, sort of a Spanish bruschetta.  The whole thing is fantastic, highly recommended, but it ain't cheap folks.  We next went with the chicken croquettes.  You get 5-6 per order for $12, and they were fantastic.  Fried perfectly and lots of béchamel flavor.  Loved these things, I could have easily eaten another order.  

A couple at our table ordered the famous foie gras cotton candy.  I didn't try it, they ate it so quickly.  I regretted getting one, but we had other things on our mind....

Like the steaks.  Unfortunately, they were out of the Lindsay Ranch ribeye, which of course I'd had my eye on since making the reservation.  As a result, we went with the Mishiwa Reserve, which is $65 a pound.  Supposedly, our steak weighed 2.5 pounds.  Now, I don't carry a scale with me to dinner, but there is no way this thing weighed 40 ounces.  But, we were hungry, and we ate it rather than complaining.  We did point it out to our server, but he said he had no way of knowing since we started eating.  He's absolutely right, but we still weren't happy with the size of this steak.  I don't know, maybe the bone weighs in at 22 ounces or something.  Also, this is the worst dry aged steak I've eaten.  It didn't have the depth of flavor you expect with dry aging.  Additionally, it wasn't adequately seasoned.  This was a fairly big error on such an expensive steak at a restaurant like this.  We ate the steak because we were hungry (and paid an arm and a leg for it), but we weren't happy.

We also tried the quarter of a suckling pig.  Now we're talking!  This thing was as advertised: juicy, flavorful, with that great crispy skin.  We got as much meat off of the thing as we could, but all of us could have used more.  

For sides, we went with the Delmonico potatoes, asparagus, and carrots.  All were good, the potatoes were almost too decadent (if such a state exists).  The asparagus is small, but it was cooked well.  I could have used more flavor from the romesco sauce.  The carrots with pepper and Greek yogurt was probably the table favorite.  I'd absolutely get this dish again.

We were given a small plate of desserts gratis at the end of our meal.  They, like the rest of the meal, were hit and miss.

Overall, I'd say this is an ambitious and unique addition to the fine dining scene in Las Vegas.  I don't know if we went on a bad night (as noted above, I've seen at least one other review that dined the night we did, November 15, 2014, that complained about the service).  I also know restaurants grow and even the best places have issues.  But, for what we paid, a lot of the things are close to inexcusable.  I'd return, but not for a long time, and I will definitely bring a scale....",1,1,1,1,0,1,-1,-1,-1,0
